Season,WTeamID,LTeamID,WSeed,LSeed,WRPI,LRPI,WPOM,LPOM,WSAG,LSAG
1985,1116,1234,9,8,,,,,,
1985,1120,1345,11,6,,,,,,
1985,1120,1242,11,3,,,,,,
1985,1207,1250,1,16,,,,,,
1985,1207,1396,1,8,,,,,,
1985,1207,1260,1,4,,,,,,
1985,1207,1210,1,2,,,,,,
1985,1207,1385,1,1,,,,,,
1985,1229,1425,9,8,,,,,,
1985,1242,1325,3,14,,,,,,
1985,1246,1449,12,5,,,,,,
1985,1246,1424,12,4,,,,,,
1985,1256,1338,5,12,,,,,,
1985,1256,1326,5,4,,,,,,
1985,1260,1233,4,13,,,,,,
1985,1260,1374,4,5,,,,,,
1985,1314,1292,2,15,,,,,,
1985,1314,1323,2,7,,,,,,
1985,1314,1120,2,11,,,,,,
1985,1323,1333,7,10,,,,,,
1985,1326,1235,4,13,,,,,,
1985,1328,1299,1,16,,,,,,
1985,1328,1229,1,9,,,,,,
1985,1328,1256,1,5,,,,,,
1985,1374,1330,5,12,,,,,,
1985,1385,1380,1,16,,,,,,
1985,1385,1116,1,9,,,,,,
1985,1385,1246,1,12,,,,,,
1985,1385,1301,1,3,,,,,,
1985,1396,1439,8,9,,,,,,
1985,1424,1361,4,13,,,,,,
1985,1104,1112,7,10,,,,,,
1985,1104,1433,7,2,,,,,,
1985,1130,1403,11,6,,,,,,
1985,1130,1181,11,3,,,,,,
1985,1181,1337,3,14,,,,,,
1985,1208,1455,6,11,,,,,,
1985,1210,1273,2,15,,,,,,
1985,1210,1393,2,7,,,,,,
1985,1210,1228,2,3,,,,,,
1985,1228,1318,3,14,,,,,,
1985,1228,1208,3,6,,,,,,
1985,1268,1275,5,12,,,,,,
1985,1268,1298,5,13,,,,,,
1985,1272,1335,2,15,,,,,,
1985,1272,1412,2,7,,,,,,
1985,1272,1130,2,11,,,,,,
1985,1272,1328,2,1,,,,,,
1985,1276,1192,1,16,,,,,,
1985,1298,1261,13,4,,,,,,
1985,1301,1305,3,14,,,,,,
1985,1301,1431,3,11,,,,,,
1985,1301,1104,3,7,,,,,,
1985,1393,1177,7,10,,,,,,
1985,1412,1277,7,10,,,,,,
1985,1431,1409,11,6,,,,,,
1985,1433,1267,2,15,,,,,,
1985,1437,1173,8,9,,,,,,
1985,1437,1276,8,1,,,,,,
1985,1437,1268,8,5,,,,,,
1985,1437,1314,8,2,,,,,,
1985,1437,1272,8,2,,,,,,
1985,1437,1207,8,1,,,,,,
1986,1133,1431,7,10,,,,,,
1986,1177,1438,12,5,,,,,,
1986,1177,1328,12,4,,,,,,
1986,1181,1290,1,16,,,,,,
1986,1181,1330,1,8,,,,,,
1986,1181,1177,1,12,,,,,,
1986,1181,1298,1,7,,,,,,
1986,1181,1242,1,1,,,,,,
1986,1207,1403,4,13,,,,,,
1986,1210,1265,2,15,,,,,,
1986,1210,1437,2,10,,,,,,
1986,1242,1299,1,16,,,,,,
1986,1242,1396,1,9,,,,,,
1986,1242,1277,1,5,,,,,,
1986,1242,1301,1,6,,,,,,
1986,1257,1180,2,15,,,,,,
1986,1257,1133,2,7,,,,,,
1986,1257,1314,2,3,,,,,,
1986,1257,1120,2,8,,,,,,
1986,1257,1261,2,11,,,,,,
1986,1257,1181,2,1,,,,,,
1986,1261,1345,11,6,,,,,,
1986,1261,1272,11,3,,,,,,
1986,1261,1210,11,2,,,,,,
1986,1261,1246,11,1,,,,,,
1986,1272,1123,3,14,,,,,,
1986,1277,1449,5,12,,,,,,
1986,1277,1207,5,4,,,,,,
1986,1314,1428,3,14,,,,,,
1986,1314,1412,3,6,,,,,,
1986,1328,1318,4,13,,,,,,
1986,1330,1452,8,9,,,,,,
1986,1396,1239,9,8,,,,,,
1986,1412,1281,6,11,,,,,,
1986,1437,1439,10,7,,,,,,
1986,1104,1462,5,12,,,,,,
1986,1104,1228,5,4,,,,,,
1986,1114,1323,14,3,,,,,,
1986,1120,1112,8,9,,,,,,
1986,1120,1385,8,1,,,,,,
1986,1120,1424,8,4,,,,,,
1986,1156,1231,14,3,,,,,,
1986,1156,1386,14,6,,,,,,
1986,1228,1193,4,13,,,,,,
1986,1235,1275,7,10,,,,,,
1986,1235,1276,7,2,,,,,,
1986,1246,1172,1,16,,,,,,
1986,1246,1443,1,8,,,,,,
1986,1246,1104,1,5,,,,,,
1986,1268,1337,5,12,,,,,,
1986,1276,1103,2,15,,,,,,
1986,1298,1409,7,10,,,,,,
1986,1298,1393,7,2,,,,,,
1986,1298,1156,7,14,,,,,,
1986,1301,1234,6,11,,,,,,
1986,1301,1114,6,14,,,,,,
1986,1301,1235,6,7,,,,,,
1986,1385,1286,1,16,,,,,,
1986,1386,1350,6,11,,,,,,
1986,1393,1135,2,15,,,,,,
1986,1424,1419,4,13,,,,,,
1986,1424,1268,4,5,,,,,,
1986,1443,1304,8,9,,,,,,
1987,1104,1299,2,15,,,,,,
1987,1104,1309,2,7,,,,,,
1987,1120,1360,8,9,,,,,,
1987,1122,1228,14,3,,,,,,
1987,1181,1401,5,12,,,,,,
1987,1181,1462,5,13,,,,,,
1987,1231,1193,1,16,,,,,,
1987,1231,1120,1,8,,,,,,
1987,1231,1181,1,5,,,,,,
1987,1231,1261,1,10,,,,,,
1987,1231,1424,1,1,,,,,,
1987,1231,1393,1,2,,,,,,
1987,1243,1208,9,8,,,,,,
1987,1276,1298,9,8,,,,,,
1987,1309,1140,7,10,,,,,,
1987,1314,1335,1,16,,,,,,
1987,1314,1276,1,9,,,,,,
1987,1314,1323,1,5,,,,,,
1987,1323,1292,5,12,,,,,,
1987,1323,1395,5,4,,,,,,
1987,1344,1412,6,11,,,,,,
1987,1344,1122,6,14,,,,,,
1987,1344,1104,6,2,,,,,,
1987,1344,1207,6,1,,,,,,
1987,1395,1267,4,13,,,,,,
1987,1417,1141,4,13,,,,,,
1987,1424,1226,1,16,,,,,,
1987,1424,1243,1,9,,,,,,
1987,1424,1461,1,12,,,,,,
1987,1424,1234,1,2,,,,,,
1987,1461,1438,12,5,,,,,,
1987,1461,1417,12,4,,,,,,
1987,1462,1281,13,4,,,,,,
