Season,Seed,TeamID,ConfAbbrev
1985,W01,1207,big_east
1985,W02,1210,acc
1985,W03,1228,big_ten
1985,W04,1260,mw_city
1985,W05,1374,swc
1985,W06,1208,sec
1985,W07,1393,big_east
1985,W08,1396,a_ten
1985,W09,1439,metro
1985,W10,1177,ind
1985,W11,1455,mvc
1985,W12,1330,sun_belt
1985,W13,1233,maac
1985,W14,1318,ecacn
1985,W15,1273,a_sun
1985,W16,1250,ecc
1985,X01,1385,big_east
1985,X02,1433,sun_belt
1985,X03,1301,acc
1985,X04,1424,pcaa
1985,X05,1449,pac_ten
1985,X06,1409,mvc
1985,X07,1104,sec
1985,X08,1234,big_ten
1985,X09,1116,swc
1985,X10,1112,pac_ten
1985,X11,1431,wac
1985,X12,1246,sec
1985,X13,1361,wac
1985,X14,1305,big_sky
1985,X15,1267,southern
1985,X16,1380,swac
1985,Y01,1328,big_eight
1985,Y02,1272,metro
1985,Y03,1181,acc
1985,Y04,1326,big_ten
1985,Y05,1256,southland
1985,Y06,1403,swc
1985,Y07,1412,sun_belt
1985,Y08,1425,pac_ten
1985,Y09,1229,mvc
1985,Y10,1277,big_ten
1985,Y11,1130,big_east
1985,Y12,1338,big_east
1985,Y13,1235,big_eight
1985,Y14,1337,wcc
1985,Y15,1335,ivy
1985,Y16,1299,meac
1985,Z01,1276,big_ten
1985,Z02,1314,acc
1985,Z03,1242,big_eight
1985,Z04,1261,sec
1985,Z05,1268,acc
1985,Z06,1345,big_ten
1985,Z07,1323,ind
1985,Z08,1437,big_east
1985,Z09,1173,ind
1985,Z10,1333,pac_ten
1985,Z11,1120,sec
1985,Z12,1275,mac
1985,Z13,1298,ecacs
1985,Z14,1325,mac
1985,Z15,1292,ovc
1985,Z16,1192,ecacm
1986,W01,1181,acc
1986,W02,1393,big_east
1986,W03,1231,big_ten
1986,W04,1328,big_eight
1986,W05,1438,acc
1986,W06,1386,a_ten
1986,W07,1298,caa
1986,W08,1330,sun_belt
1986,W09,1452,a_ten
1986,W10,1409,mvc
1986,W11,1350,caa
1986,W12,1177,ind
1986,W13,1318,ecacn
1986,W14,1156,mid_cont
1986,W15,1135,ivy
1986,W16,1290,swac
1986,X01,1242,big_eight
1986,X02,1276,big_ten
1986,X03,1323,ind
1986,X04,1207,big_east
1986,X05,1277,big_ten
1986,X06,1301,acc
1986,X07,1235,big_eight
1986,X08,1239,sun_belt
1986,X09,1396,a_ten
1986,X10,1275,mac
1986,X11,1234,big_ten
1986,X12,1449,pac_ten
1986,X13,1403,swc
1986,X14,1114,a_sun
